num; time; fix; lat; lon; alt; times; timems
115; 71341; 0; 55.910648; 37.805382; 200.000000; 0; 0;
116; 71807; 0; 55.910648; 37.805382; 200.000000; 0; 0;
117; 72590; 0; 55.910648; 37.805382; 200.000000; 0; 0;
118; 73058; 0; 55.910648; 37.805382; 200.000000; 0; 0;
119; 73610; 0; 55.910648; 37.805382; 200.000000; 0; 0;
120; 74155; 0; 55.910648; 37.805382; 200.000000; 0; 0;
121; 74732; 0; 55.910648; 37.805382; 200.000000; 0; 0;
122; 75365; 0; 55.910648; 37.805382; 200.000000; 0; 0;
123; 75867; 0; 55.910648; 37.805382; 200.000000; 0; 0;
124; 76399; 0; 55.910648; 37.805382; 200.000000; 0; 0;
125; 77060; 0; 55.910648; 37.805382; 200.000000; 0; 0;
126; 77637; 0; 55.910648; 37.805382; 200.000000; 0; 0;
127; 78102; 0; 55.910648; 37.805382; 200.000000; 0; 0;
128; 78661; 0; 55.910648; 37.805382; 200.000000; 0; 0;
129; 79182; 0; 55.910648; 37.805382; 200.000000; 0; 0;
130; 79760; 0; 55.910648; 37.805382; 200.000000; 0; 0;
131; 80449; 0; 55.910648; 37.805382; 200.000000; 0; 0;
132; 81063; 0; 55.910648; 37.805382; 200.000000; 0; 0;
133; 81595; 0; 55.910648; 37.805382; 200.000000; 0; 0;
134; 82158; 0; 55.910648; 37.805382; 200.000000; 0; 0;
135; 82798; 0; 55.910648; 37.805382; 200.000000; 0; 0;
136; 83376; 0; 55.910648; 37.805382; 200.000000; 0; 0;
137; 83953; 0; 55.910648; 37.805382; 200.000000; 0; 0;
138; 84473; 0; 55.910648; 37.805382; 200.000000; 0; 0;
139; 85130; 0; 55.910648; 37.805382; 200.000000; 0; 0;
140; 85596; 0; 55.910648; 37.805382; 200.000000; 0; 0;
141; 86172; 0; 55.910648; 37.805382; 200.000000; 0; 0;
142; 87622; 0; 55.910648; 37.805382; 200.000000; 0; 0;
143; 88114; 0; 55.910648; 37.805382; 200.000000; 0; 0;
144; 88633; 0; 55.910648; 37.805382; 200.000000; 0; 0;
145; 89192; 0; 55.910648; 37.805382; 200.000000; 0; 0;
146; 89908; 0; 55.910648; 37.805382; 200.000000; 0; 0;
