"Number";"Time_ms";"Time";"Q1";"Q2";"Q3";"Q4";"crc"
1997;125436;125.43399810791016;0.9694278240203857;0.0991654172539711;-0.10954255610704422;0.19589851796627045;54632;
1999;125556;125.5530014038086;0.9734205603599548;0.081026591360569;-0.1187129095196724;0.17830945551395416;40316;
2000;125626;125.6240005493164;0.97489333152771;0.0637732744216919;-0.10916405916213989;0.1833006888628006;31937;
2001;125673;125.66999816894531;0.9752745032310486;0.05508377030491829;-0.10017839074134827;0.1891283243894577;18719;
2005;125892;125.88899993896484;0.9724921584129333;0.07588161528110504;-0.10569353401660919;0.19320917129516602;12251;
2010;126178;126.17400360107422;0.9847661256790161;0.07308804243803024;-0.10754737257957458;0.11544394493103027;37562;
2018;126625;126.62300109863281;0.9903244972229004;0.05682399868965149;-0.11954602599143982;0.0416807197034359;29166;
2023;126904;126.9010009765625;0.9868168830871582;0.06163480132818222;-0.11380698531866074;0.09716806560754776;63102;
2029;127264;127.26100158691406;0.9909564256668091;0.041532278060913086;-0.08586369454860687;0.09438104927539825;27872;
2031;127372;127.37000274658203;0.9882010221481323;0.04482981190085411;-0.12179595232009888;0.08133206516504288;56954;
2032;127429;127.4260025024414;0.990260899066925;0.045636050403118134;-0.10739719122648239;0.07593749463558197;38693;
2034;127529;127.5260009765625;0.9919934868812561;0.046964406967163086;-0.09731442481279373;0.06536903232336044;22060;
2040;127867;127.86399841308594;0.991578221321106;0.028371626511216164;-0.10393413156270981;0.07187119871377945;35091;
2043;128044;128.04100036621094;0.9890750646591187;0.027612892910838127;-0.11024237424135208;0.09388604015111923;35538;
2044;128714;128.71099853515625;0.9876847267150879;-0.019405510276556015;-0.06467965990304947;0.14113396406173706;23152;
2051;129101;129.09800720214844;0.9813934564590454;0.03565552085638046;-0.10876352339982986;0.1541622430086136;39558;
2056;129371;129.3679962158203;0.981230616569519;0.049508724361658096;-0.1005779281258583;0.1569061577320099;4352;
2057;129433;129.42999267578125;0.9813879132270813;0.050309568643569946;-0.10074181854724884;0.15555621683597565;51527;
2061;129649;129.64700317382812;0.9914931058883667;0.045695967972278595;-0.08498518168926239;0.08735454827547073;33349;
2065;129902;129.8979949951172;0.9918458461761475;0.05709688365459442;-0.08111166208982468;0.08001643419265747;64424;
2067;130005;130.0019989013672;0.992861270904541;0.04090065509080887;-0.0744863748550415;0.08369845151901245;32850;
2072;130273;130.27000427246094;0.9883972406387329;0.03263738006353378;-0.10726140439510345;0.1024729311466217;24786;
2074;130388;130.38600158691406;0.9880838394165039;0.025691675022244453;-0.09626376628875732;0.11731786280870438;18641;
2078;130626;130.6230010986328;0.987273097038269;0.03859269246459007;-0.09517769515514374;0.12142334133386612;47852;
2086;131072;131.06900024414062;0.9946429133415222;0.04614703729748726;-0.08932700753211975;0.024012092500925064;64247;
2087;131125;131.1219940185547;0.9940542578697205;0.04233799874782562;-0.09727529436349869;0.02451949566602707;63410;
2093;131460;131.45799255371094;0.9916718006134033;0.013990228995680809;-0.117705337703228;0.05036593973636627;42553;
2098;131748;131.7449951171875;0.9913883805274963;0.006803055759519339;-0.12329620122909546;0.04359857365489006;30394;
2100;131848;131.84500122070312;0.9935230612754822;0.01869051717221737;-0.11152471601963043;0.011177866719663143;62281;
2104;132076;132.072998046875;0.9947579503059387;0.04460441693663597;-0.09109906852245331;-0.012967987917363644;5935;
2111;132454;132.4510040283203;0.9917036890983582;0.03356367349624634;-0.12200640141963959;-0.022619564086198807;63781;
2114;132626;132.6230010986328;0.99062579870224;0.013353054411709309;-0.12839937210083008;-0.0446745939552784;18814;
2120;132972;132.968994140625;0.9935995936393738;0.028208134695887566;-0.09376353025436401;-0.05632472410798073;24919;
2121;133025;133.02200317382812;0.9902889728546143;0.022328762337565422;-0.11342058330774307;-0.0772327110171318;61221;
2122;133075;133.07200622558594;0.9904953241348267;0.025055155158042908;-0.11023188382387161;-0.07835976779460907;42574;
2125;133257;133.25399780273438;0.9888885021209717;0.033778585493564606;-0.11078013479709625;-0.09320002049207687;42249;
2131;133605;133.6020050048828;0.989668071269989;0.04176952317357063;-0.13518258929252625;-0.023196209222078323;52554;
2135;133834;133.83099365234375;0.9942960739135742;0.019651805981993675;-0.10292129218578339;-0.01990697905421257;46570;
2142;134213;134.2100067138672;0.9915701150894165;0.048503559082746506;-0.10531128197908401;-0.05784188583493233;36026;
2144;134313;134.30999755859375;0.9903649091720581;0.0485650859773159;-0.09518133103847504;-0.0880868211388588;54104;
2153;135441;135.43800354003906;0.9718660712242126;0.010305172763764858;-0.13218489289283752;-0.19467218220233917;43288;
2156;135599;135.5959930419922;0.9749844074249268;0.025879140943288803;-0.12425734102725983;-0.18247157335281372;62049;
2160;135823;135.8209991455078;0.97519451379776;0.04030034318566322;-0.132733553647995;-0.17249172925949097;5697;
2163;136021;136.01800537109375;0.9767134785652161;0.013936853036284447;-0.14455315470695496;-0.15792705118656158;10097;
2164;136076;136.072998046875;0.9778669476509094;0.02566898986697197;-0.14293603599071503;-0.15062059462070465;41513;
