"Number";"Time_ms";"Fix";"Latitude";"Longitude";"Height";"Time, s";"Time, mks";"crc"
1744;400027;0;nan;nan;nan;44611;0;57633;
1747;401258;0;nan;nan;nan;44613;0;52582;
1759;403744;0;nan;nan;nan;44615;0;46019;
1768;405590;0;nan;nan;nan;44617;0;50984;
1783;409278;0;nan;nan;nan;44621;0;37042;
1795;411750;0;nan;nan;nan;44623;0;62134;
1801;413607;0;nan;nan;nan;44625;0;53004;
1804;414243;0;nan;nan;nan;44626;0;32683;
1807;414858;0;nan;nan;nan;44626;0;50245;
1810;415465;0;nan;nan;nan;44627;0;17606;
1813;416080;0;nan;nan;nan;44627;0;17012;
1815;416497;0;nan;nan;nan;44628;0;27390;
1816;416712;0;nan;nan;nan;44628;0;53765;
1819;417317;0;nan;nan;nan;44629;0;64619;
1825;418572;0;nan;nan;nan;44630;0;49442;
1828;419175;0;nan;nan;nan;44630;0;28333;
1831;420405;0;nan;nan;nan;44632;0;64063;
1834;421024;0;nan;nan;nan;44632;0;42413;
1837;421641;0;nan;nan;nan;44633;0;34949;
1840;422250;0;nan;nan;nan;44634;0;38775;
1843;422884;0;nan;nan;nan;44634;0;37272;
1846;423504;0;nan;nan;nan;44635;0;4433;
1852;424730;0;nan;nan;nan;44636;0;4928;
1858;426563;0;nan;nan;nan;44638;0;56517;
1859;426774;0;nan;nan;nan;44638;0;27217;
1861;427182;0;nan;nan;nan;44638;0;59892;
1864;427801;0;nan;nan;nan;44639;0;13479;
1867;428410;0;nan;nan;nan;44640;0;57601;
1870;429022;0;nan;nan;nan;44640;0;35180;
1876;430253;0;nan;nan;nan;44641;0;49867;
1879;430869;0;nan;nan;nan;44642;0;14638;
1882;431493;0;nan;nan;nan;44643;0;7368;
1885;432721;0;nan;nan;nan;44644;0;37013;
1888;433349;0;nan;nan;nan;44645;0;40883;
1891;433955;0;nan;nan;nan;44645;0;44216;
1894;434598;0;nan;nan;nan;44646;0;18730;
1897;435211;0;nan;nan;nan;44647;0;19676;
1900;435836;0;nan;nan;nan;44647;0;8339;
1907;437322;0;nan;nan;nan;44649;0;60076;
1909;437724;0;nan;nan;nan;44649;0;49324;
1912;438938;0;nan;nan;nan;44650;0;251;
1915;439569;0;nan;nan;nan;44651;0;16165;
