"Number";"Time_ms";"VectorX";"VectorY";"VectorZ";"DeltaStep";"KsiServo";"crc"
284;66198;4.272686262955794e-14;-1.0;2.9011687012508557e-18;-116.94708251953125;-4.865781784057617;34856;
286;66602;-0.0;-0.0;-0.0;-116.64413452148438;-4.978874206542969;30174;
289;67209;7.073249323106601e-25;-1.0;2.4847221811067997e-38;-109.30406951904297;-5.53278923034668;53666;
290;67413;9.909659581808228e-08;-1.7822391782870706e-13;1.0;-113.78748321533203;-5.5297956466674805;57742;
293;68022;-0.0;-0.0;-0.0;-114.18241119384766;-4.91556453704834;60939;
296;68669;-9.743215190372511e-29;-1.513918448381446e-07;-1.0;-117.32432556152344;-4.64741325378418;24155;
298;69074;-1.0;-1.4129637904147785e-08;-3.3862441628593553e-18;-103.70272064208984;-5.406459331512451;14069;
299;69272;-0.0;-0.0;0.0;-103.10431671142578;-4.823698997497559;18583;
301;69698;-0.008208846673369408;-0.9999663829803467;-2.089732554004283e-20;-96.29936218261719;-5.98082160949707;28078;
302;69896;0.0;-0.0;-0.0;-102.8843994140625;-5.531905651092529;36254;
304;70309;1.4802161500044848e-35;-1.0;-1.3500644109894127e-26;-106.80254364013672;-5.267571926116943;4221;
305;70513;0.9998956918716431;-0.014441224746406078;1.6506946643228528e-17;-107.05425262451172;-5.124983310699463;28338;
306;70716;-9.297014795759418e-32;-1.0;1.9072340364800766e-05;-102.1859130859375;-5.9918131828308105;33655;
307;70922;-0.0;-0.0;0.0;-92.0226821899414;-5.318722248077393;18937;
308;71124;-0.0;-0.0;0.0;-92.33409118652344;-4.914359092712402;19357;
310;72153;-1.0;-1.5518595523206224e-12;0.0;-90.61186981201172;-4.894094944000244;29563;
314;72974;3.604525837151099e-15;-2.8931094805427516e-18;1.0;-86.06381225585938;-5.51971435546875;45486;
316;73375;-3.205905759593661e-32;-1.0;-1.3003336185590797e-08;-92.9219741821289;-5.311446666717529;41663;
317;73594;1.0;-1.0946335351036396e-05;-1.7042728689848543e-37;-90.35015869140625;-5.055782318115234;15999;
319;73997;-2.5405612177564763e-05;-5.184178713295933e-19;-1.0;-90.7044906616211;-4.987025737762451;56201;
320;74197;1.0;-5.7675083553476725e-06;0.0;-89.63292694091797;-5.494998931884766;6364;
322;74612;-0.9969093799591064;-0.07856056839227676;-3.53386112156494e-27;-79.35987854003906;-5.110824108123779;33183;
323;74837;4.87139102753409e-21;-1.1499584617880032e-09;-1.0;-76.45738220214844;-4.566638469696045;41355;
325;75255;-0.0;-0.0;-0.0;-86.55634307861328;-4.771879196166992;1372;
