"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
104;1681;-333;56;919;505;4754;3797;-19;-19;-14;36012;
115;1829;-334;65;920;499;4754;3788;-19;-19;-14;24638;
117;1859;-339;55;924;502;4755;3799;0;0;-1;10023;
130;2034;-327;49;922;495;4750;3786;-19;0;-1;24426;
132;2064;-334;59;927;502;4756;3784;0;-19;-14;59530;
145;2242;-334;64;917;497;4754;3792;0;0;-1;7025;
147;2272;-327;50;924;496;4755;3788;-19;-19;-14;55190;
160;2447;-338;64;918;501;4757;3794;0;0;-1;38925;
162;2477;-335;48;922;496;4751;3798;-19;-19;-14;53687;
164;2506;-329;62;921;503;4748;3800;0;0;-1;11528;
175;2655;-334;57;923;501;4752;3794;-19;-19;-14;40567;
177;2684;-332;66;922;495;4754;3789;0;0;-1;63680;
190;2860;-328;57;920;512;4737;3736;-19;-19;-14;49330;
192;2889;-334;46;922;489;4757;3792;0;0;-1;61764;
194;2918;-329;52;917;499;4756;3798;-19;-19;-14;3427;
205;3067;-341;56;923;493;4750;3797;-19;-19;-14;56882;
220;3272;-337;57;921;489;4754;3793;0;0;-1;34294;
222;3302;-339;47;926;504;4748;3801;-19;-19;-14;56545;
224;3331;-325;86;924;509;4756;3805;-19;-19;-14;38773;
235;3480;-325;80;927;497;4750;3801;0;0;-1;18056;
237;3509;-343;38;923;488;4758;3799;-19;-19;-14;10311;
252;3714;-337;61;920;493;4755;3798;-19;-19;-14;11113;
254;3744;-334;53;924;497;4752;3799;0;0;-1;22499;
265;3892;-336;61;918;493;4753;3800;-19;-19;-14;49540;
267;3922;-328;59;915;497;4754;3799;0;0;-1;2354;
282;4127;-337;62;922;497;4753;3799;0;0;-1;31776;
295;4305;-334;56;922;495;4755;3799;-19;0;-1;5979;
297;4335;-337;59;922;496;4753;3799;0;-19;-14;29220;
310;4510;-340;62;923;496;4753;3799;0;0;-1;62062;
312;4540;-335;55;923;497;4753;3799;-19;-19;-14;31509;
314;4569;-335;60;920;497;4752;3798;-19;-19;-14;15488;
325;4718;-333;59;922;497;4754;3799;0;0;-1;48772;
327;4747;-335;58;926;496;4752;3798;-19;-19;-14;47888;
340;4923;-338;61;927;496;4754;3798;0;0;-1;49016;
342;4952;-336;56;927;497;4752;3799;-19;-19;-14;62152;
344;4981;-331;57;927;496;4753;3798;0;0;-1;3770;
370;5336;-331;55;918;495;4753;3798;-19;-19;-14;64417;
372;5365;-325;60;918;498;4754;3799;0;0;-1;61629;
374;5394;-330;57;920;496;4753;3797;-19;-19;-14;50433;
385;5543;-334;60;921;496;4753;3798;-19;0;-1;31675;
387;5572;-332;61;919;498;4753;3798;0;0;-1;52688;
400;5748;-332;55;921;496;4754;3800;-19;0;-1;53443;
402;5777;-333;55;926;497;4752;3799;0;-19;-14;28247;
404;5807;-331;56;928;497;4753;3799;-19;-19;-14;7103;
415;5955;-324;52;922;499;4741;3805;0;0;-1;8415;
417;5985;-326;71;925;497;4760;3803;-19;-19;-14;15254;
432;6190;-336;73;923;500;4751;3798;-19;-19;-14;6972;
434;6219;-331;48;925;493;4754;3799;0;0;-1;46150;
445;6368;-335;52;927;496;4753;3798;-19;-19;-14;26864;
447;6397;-334;55;926;496;4753;3798;0;0;-1;10067;
460;6573;-333;50;920;491;4756;3796;-19;-19;-14;16050;
475;6780;-333;45;928;487;4754;3801;-19;-19;-14;62310;
477;6810;-345;51;925;509;4753;3803;0;0;-1;29176;
520;7398;-359;61;916;477;4765;3791;0;0;-1;28083;
3;2410;-338;57;922;498;4753;3799;0;-19;-14;837;
5;2714;-337;60;916;497;4755;3799;-19;0;-1;7945;
7;3033;-335;61;918;496;4754;3799;0;-19;-14;28142;
11;3669;-331;59;919;496;4754;3799;-19;-19;-14;15432;
13;4027;-337;62;922;497;4752;3799;-19;0;-1;5026;
19;4958;-339;59;919;496;4754;3799;0;-19;-14;21339;
21;5292;-336;62;918;496;4754;3799;-19;-19;-14;17408;
23;5612;-338;59;922;497;4752;3799;0;-19;-14;21965;
27;6263;-336;70;924;499;4751;3800;-19;0;-1;60677;
29;6583;-338;55;923;498;4754;3799;0;-19;-14;35531;
35;8319;-336;59;917;496;4752;3799;-19;0;-1;51551;
37;8636;-336;55;928;497;4754;3799;0;-19;-14;32215;
43;9668;-338;59;922;496;4754;3798;0;-19;-14;52313;
45;9986;-337;60;915;497;4752;3799;-19;-19;-14;56316;
51;10977;-335;55;919;496;4754;3798;-19;-19;-14;53912;
53;11285;-341;66;926;498;4752;3798;-19;0;-1;56747;
55;11590;-334;60;917;496;4753;3799;0;-19;-14;41141;
59;12253;-335;57;918;498;4753;3798;0;-19;-14;25675;
61;12585;-336;60;923;497;4752;3798;-19;0;-1;4316;
67;13529;-341;61;922;498;4755;3798;0;-19;-14;11886;
69;13867;-339;60;919;496;4752;3798;0;0;-1;12836;
