"Number";"Time_ms";"Q1";"Q2";"Q3";"Q4";"Time";"crc"
567;86632;86.62100219726562;0.031683262437582016;0.356617271900177;-0.9296243190765381;0.08728557825088501;35252;
568;87507;87.49600219726562;0.00886368378996849;0.11944703757762909;-0.9893547892570496;0.0826490968465805;62048;
569;87710;87.6989974975586;0.014355793595314026;0.10251829028129578;-0.991646409034729;0.07694941014051437;30392;
571;87996;87.98500061035156;0.028078533709049225;0.13831700384616852;-0.9851920008659363;0.09734918177127838;48700;
573;88255;88.24400329589844;0.029523860663175583;0.1893940418958664;-0.9755552411079407;0.10747215151786804;36926;
575;88515;88.50399780273438;0.02764786407351494;0.13384804129600525;-0.9868761301040649;0.08599880337715149;22887;
577;88788;88.7770004272461;0.03677424043416977;0.16726191341876984;-0.9798007011413574;0.1032559871673584;40987;
579;89060;89.04900360107422;0.050419360399246216;0.1995966136455536;-0.9707366824150085;0.1236499547958374;47872;
581;89333;89.3219985961914;0.05048709362745285;0.18942104279994965;-0.9730233550071716;0.12163960933685303;38910;
583;89596;89.58399963378906;0.0461110882461071;0.22933688759803772;-0.9641864895820618;0.12499096244573593;17334;
584;89711;89.69999694824219;0.03432195633649826;0.24236463010311127;-0.9634913802146912;0.10846967995166779;30751;
585;89999;89.98699951171875;0.03773903101682663;0.27432605624198914;-0.9546401500701904;0.10946722328662872;6567;
587;90263;90.25199890136719;0.049684371799230576;0.29926618933677673;-0.9444369077682495;0.126531183719635;8769;
588;90380;90.36799621582031;0.04897362366318703;0.3159264922142029;-0.9388665556907654;0.1277560293674469;36183;
589;90580;90.56900024414062;0.04870472848415375;0.29935550689697266;-0.9444640278816223;0.1264977753162384;16178;
590;90696;90.68499755859375;0.03473091125488281;0.2984209954738617;-0.948371410369873;0.1016383171081543;42425;
591;90898;90.88700103759766;0.02991347201168537;0.3179156482219696;-0.9434540271759033;0.08904635161161423;56639;
593;91171;91.16000366210938;0.033737629652023315;0.3052508533000946;-0.9467452764511108;0.09673179686069489;60921;
595;91432;91.4209976196289;0.03220183774828911;0.24611780047416687;-0.9645021557807922;0.09013703465461731;30123;
597;91692;91.68099975585938;0.03296476975083351;0.2764538824558258;-0.9558582305908203;0.09392338991165161;57105;
598;91808;91.7969970703125;0.03766154125332832;0.29497596621513367;-0.9491452574729919;0.10341191291809082;48926;
599;92022;92.01100158691406;0.039888981729745865;0.279722660779953;-0.9532970786094666;0.10671872645616531;62598;
601;92282;92.2699966430664;0.0354418121278286;0.30177077651023865;-0.9477289915084839;0.09740699082612991;15433;
603;92554;92.54299926757812;0.04410652443766594;0.33948543667793274;-0.9330378174781799;0.11065554618835449;20876;
605;92908;92.89700317382812;0.039135221391916275;0.2549827992916107;-0.9609856605529785;0.09979379177093506;13806;
606;93023;93.01200103759766;0.0284720528870821;0.26892247796058655;-0.9588976502418518;0.08593813329935074;54876;
607;93224;93.21299743652344;0.03709205985069275;0.3009887933731079;-0.9473434090614319;0.10281257331371307;57193;
609;93484;93.47200012207031;0.03445610776543617;0.2431689202785492;-0.9647296071052551;0.09475525468587875;44601;
611;93839;93.8270034790039;0.024323876947164536;0.3080207407474518;-0.9475101232528687;0.08219470083713531;16452;
613;94099;94.08699798583984;0.028696734458208084;0.29282084107398987;-0.9515421390533447;0.08944259583950043;28963;
615;94390;94.37899780273438;0.017171043902635574;0.29129812121391296;-0.9537384510040283;0.0723428800702095;18948;
617;94650;94.63899993896484;0.02369854599237442;0.2758985161781311;-0.9574683904647827;0.08107230067253113;47996;
619;94923;94.91200256347656;0.026904387399554253;0.30673256516456604;-0.9477574229240417;0.08334928005933762;5247;
620;95039;95.02799987792969;0.030878210440278053;0.3219703137874603;-0.9420838952064514;0.08865515142679214;29642;
621;95253;95.24199676513672;0.032233938574790955;0.3232634663581848;-0.9412079453468323;0.09267865121364594;56720;
