num; vec1; vec2; vec3; delta; ksi
22;26645;0.999880;0.015486;-0.000000;54.586258;-7.078617
23;27366;-0.000000;0.000000;-0.000000;49.537674;-6.817368
24;28050;-0.000000;1.000000;0.000000;49.375324;-8.381407
25;28782;1.000000;0.000000;-0.000000;61.679298;-5.030118
num; vec1; vec2; vec3; delta; ksi
1;30253;0.000000;-0.126647;0.991948;-144.793564;-52.032177
2;31002;0.000000;-1.000000;0.000000;-149.612198;-52.689606
3;31713;-0.733727;-0.679444;0.000000;-155.042236;-53.375423
4;32446;0.000000;-0.000000;0.000000;-159.928070;-53.557274
5;33145;-0.000000;-0.000000;-0.000000;-165.984924;-54.167599
6;33871;-0.000000;-0.000055;-1.000000;-172.511429;-53.719379
num; vec1; vec2; vec3; delta; ksi
1;35265;-0.000000;-0.000000;-0.000000;-131.742981;-59.216084
2;35986;-0.000001;-0.000000;-1.000000;-134.410431;-60.306499
3;36682;-0.000000;-1.000000;-0.000000;-137.160156;-61.675087
4;37416;-1.000000;-0.000000;-0.000000;-140.731537;-63.254147
5;38124;0.000000;-0.000000;0.000000;-144.850174;-64.649956
6;38828;-0.000000;-0.000000;-0.000000;-148.390320;-66.063622
7;39537;-0.000000;-0.000000;0.000000;-152.632538;-66.963951
8;40232;-1.000000;-0.000187;0.000000;-157.072113;-67.420761
9;40951;0.000000;-0.455589;0.890190;-161.804855;-67.396149
10;41671;1.000000;-0.000000;-0.000000;-167.177811;-66.883858
11;42379;0.000000;-0.000000;-0.000000;-172.745026;-66.326813
12;43157;1.000000;-0.000000;-0.000000;-179.292526;-64.804398
13;43938;0.000000;0.000000;-0.000000;172.790955;-62.648357
14;44648;1.000000;0.000000;-0.000000;165.342941;-60.363052
15;45356;-0.000000;0.000000;0.000000;157.650070;-57.289600
16;46064;-0.000000;1.000000;-0.000000;149.618362;-52.894581
17;46760;-1.000000;0.000000;0.000000;141.019745;-47.724407
18;47492;1.000000;0.000000;-0.000000;130.109955;-42.285660
19;48202;1.000000;0.000000;0.000000;118.184860;-34.724033
20;48921;-0.000000;0.000000;1.000000;102.946342;-26.332397
21;49618;0.000000;0.000000;0.000000;80.503632;-16.946445
22;50313;-0.000000;0.000000;1.000000;52.636414;-9.653305
23;51022;-0.000000;0.000000;0.000000;49.900204;-8.475966
24;51719;-0.000000;1.000000;-0.000000;46.983097;-9.360548
num; vec1; vec2; vec3; delta; ksi;26;53447;-0.000000;1.000000;-0.000000;38.120426;-9.355704
27;54168;0.000000;1.000000;0.000000;54.760246;-8.298736
28;55926;1.000000;0.000003;-0.000000;60.358311;-8.321404
29;56633;0.000000;1.000000;0.000000;32.846100;-9.997756
30;57354;-0.000000;0.000000;0.000000;38.605583;-8.438938
31;58050;0.000000;0.000000;-0.000000;50.914360;-8.075786
32;58759;1.000000;0.000000;0.000000;55.252178;-8.303903
33;59470;-0.000000;1.000000;-0.000000;45.775784;-9.464884
34;60166;-0.000000;0.000000;-0.000000;47.994228;-9.038081
35;60886;1.000000;0.000000;0.000000;54.565735;-8.210608
36;61595;0.000000;0.000000;-0.000000;53.078434;-6.284821
37;62302;0.000000;0.000000;0.000000;46.791615;-8.334276
38;63000;-0.000000;0.000000;-1.000000;50.706055;-8.332943
39;63709;-0.000000;1.000000;0.000000;54.389992;-7.606407
